id,number,street,city,state,postalCode,price
1,589,Buell,San Jose,California,95173,$363051.13
2,6557,Westridge,Houston,Texas,77201,$374771.88
3,3791,Burning Wood,Salt Lake City,Utah,84120,$246945.81
4,850,Burrows,Tulsa,Oklahoma,74149,$462937.20
5,2768,Hallows,Littleton,Colorado,80127,$154543.60
6,886,Sunbrook,Savannah,Georgia,31416,$86711.18
7,29,6th,Lexington,Kentucky,40591,$351064.27
8,54,Ridgeway,New York City,New York,10203,$499339.98
9,81843,Kinsman,Hampton,Virginia,23663,$184562.76
10,8659,Anhalt,Mesa,Arizona,85210,$310527.91
11,9844,Gateway,Orlando,Florida,32819,$135136.35
12,0,Glacier Hill,Baton Rouge,Louisiana,70805,$345620.31
13,3,Jackson,Columbus,Ohio,43215,$370599.88
14,65365,Haas,Cleveland,Ohio,44197,$436939.09
15,274,Lake View,Boulder,Colorado,80310,$259331.23
16,7,Crowley,Louisville,Kentucky,40287,$442255.69
17,83946,Annamark,Oklahoma City,Oklahoma,73129,$443909.43
18,158,Lakewood Gardens,Houston,Texas,77255,$287357.95
19,5,Eggendart,Clearwater,Florida,34615,$449204.37
20,67,Marquette,Beaverton,Oregon,97075,$209519.28
21,102,Harper,El Paso,Texas,88558,$424050.90
22,5,Cardinal,Flint,Michigan,48505,$363712.00
23,60458,Browning,Appleton,Wisconsin,54915,$446026.75
24,15,South,Chicago,Illinois,60609,$99341.68
25,88908,Continental,Bakersfield,California,93399,$147505.67
26,2620,Eastlawn,Amarillo,Texas,79182,$270719.46
27,14470,Rieder,Sacramento,California,95852,$259930.65
28,33714,Sage,Tulsa,Oklahoma,74103,$405158.11
29,21248,John Wall,Des Moines,Iowa,50305,$51224.78
30,07,Talmadge,San Diego,California,92127,$100367.70
31,4310,Miller,Sioux Falls,South Dakota,57105,$173664.50
32,1,Longview,Chicago,Illinois,60624,$378822.59
33,107,Bonner,El Paso,Texas,79940,$178135.36
34,602,6th,San Jose,California,95113,$176028.29
35,18983,Springview,Maple Plain,Minnesota,55572,$58370.74
36,741,Kenwood,Billings,Montana,59105,$273725.67
37,5940,Bartelt,Grand Forks,North Dakota,58207,$430050.00
38,318,Dawn,Spokane,Washington,99260,$200738.42
39,5364,Heath,Valley Forge,Pennsylvania,19495,$367971.35
40,2596,Eastlawn,Bakersfield,California,93305,$119065.32
41,0907,Elmside,Oakland,California,94627,$380449.71
42,753,Kingsford,Jersey City,New Jersey,07310,$358766.54
43,33,Eastlawn,Minneapolis,Minnesota,55407,$126734.79
44,651,Quincy,Cleveland,Ohio,44125,$64059.92
45,9,Pankratz,Colorado Springs,Colorado,80915,$147236.80
46,9,Bartillon,Vancouver,Washington,98682,$407258.78
47,4245,Mccormick,Juneau,Alaska,99812,$321087.31
48,7779,Pawling,Saint Augustine,Florida,32092,$158542.80
49,573,Grover,Cleveland,Ohio,44130,$138165.68
50,97,Northridge,Kansas City,Missouri,64130,$231071.93
51,89588,Lakewood Gardens,Phoenix,Arizona,85067,$333934.94
52,829,Marquette,Lakeland,Florida,33811,$492534.59
53,73104,Waxwing,Atlanta,Georgia,30375,$491208.19
54,71484,Magdeline,Orlando,Florida,32813,$98918.74
55,62111,Glendale,Memphis,Tennessee,38161,$306778.24
56,7,Killdeer,Albany,New York,12205,$437120.66
57,6169,Cambridge,London,Kentucky,40745,$258245.98
58,9617,Monica,Lexington,Kentucky,40505,$376513.18
59,50,Fulton,Brea,California,92822,$468958.20
60,821,Brown,Seattle,Washington,98185,$449967.17
61,5852,Towne,Albuquerque,New Mexico,87195,$169500.12
62,0,Weeping Birch,Indianapolis,Indiana,46254,$128926.86
63,5854,Northwestern,Fresno,California,93715,$112694.59
64,2012,5th,High Point,North Carolina,27264,$100087.74
65,1015,Ridgeview,Phoenix,Arizona,85072,$103915.15
66,6311,Loomis,Tulsa,Oklahoma,74149,$135316.31
67,99,Comanche,Columbus,Georgia,31904,$129496.56
68,2908,Clove,Columbus,Georgia,31904,$353892.68
69,9,La Follette,Salt Lake City,Utah,84199,$375628.58
70,70788,Elgar,Newton,Massachusetts,02162,$361217.35
71,8982,Bonner,Richmond,Virginia,23260,$190940.79
72,921,Riverside,Saint Cloud,Minnesota,56372,$427023.26
73,590,Lukken,Charleston,West Virginia,25313,$312906.58
74,987,Wayridge,Buffalo,New York,14233,$413848.48
75,35233,Dennis,Bakersfield,California,93386,$373612.37
76,4,Park Meadow,Charlotte,North Carolina,28299,$244882.39
77,683,Saint Paul,Dallas,Texas,75397,$425148.71
78,41624,Golf View,Oklahoma City,Oklahoma,73119,$215215.95
79,149,Dakota,Aurora,Colorado,80015,$403672.07
80,45683,Westport,Phoenix,Arizona,85005,$257244.55
81,73973,Atwood,Erie,Pennsylvania,16565,$376684.66
82,704,Bartillon,Cincinnati,Ohio,45249,$349660.42
83,97009,Hansons,Augusta,Georgia,30919,$189661.11
84,36,Charing Cross,Annapolis,Maryland,21405,$282386.39
85,27,Westport,San Jose,California,95138,$365996.74
86,7125,Fuller,San Francisco,California,94121,$458432.96
87,0207,Swallow,Palm Bay,Florida,32909,$117470.93
88,7865,Golf,Savannah,Georgia,31416,$253868.72
89,60491,Sundown,Carson City,Nevada,89706,$229336.41
90,29,2nd,Grand Rapids,Michigan,49518,$105454.11
91,39954,Swallow,Everett,Washington,98206,$332668.14
92,084,Nelson,Carlsbad,California,92013,$330025.03
93,929,Becker,San Jose,California,95173,$159096.12
94,80647,Nobel,Huntsville,Alabama,35805,$314402.56
95,7,Del Mar,Pittsburgh,Pennsylvania,15215,$288381.82
96,077,Lien,Amarillo,Texas,79159,$485205.91
97,682,Claremont,Miami,Florida,33190,$196848.95
98,3666,Talmadge,San Bernardino,California,92415,$226277.49
99,6,Northfield,Dallas,Texas,75372,$491197.96
100,85,Talisman,New York City,New York,10120,$432063.31
101,1477,Bultman,Raleigh,North Carolina,27621,$343804.73
102,48440,Havey,San Antonio,Texas,78240,$274361.12
103,0252,Heath,Rochester,New York,14619,$355650.72
104,99213,Fair Oaks,Saint Petersburg,Florida,33737,$422807.64
105,34526,Westport,Louisville,Kentucky,40293,$471595.86
106,184,Forest Run,Aiken,South Carolina,29805,$247877.48
107,6,Arrowood,Fort Worth,Texas,76115,$485743.69
108,37,Dovetail,Denver,Colorado,80299,$229791.47
109,80,Nelson,Akron,Ohio,44310,$462943.45
110,207,Pawling,Hartford,Connecticut,06183,$66306.00
111,558,School,Albany,New York,12205,$464689.44
112,3,Sullivan,Buffalo,New York,14276,$83173.40
113,4694,Stang,Washington,District of Columbia,20442,$279249.32
114,6062,Roth,Las Vegas,Nevada,89120,$220507.03
115,8,Dryden,North Las Vegas,Nevada,89087,$240428.43
116,07,Redwing,North Las Vegas,Nevada,89087,$207272.06
117,65,International,Indianapolis,Indiana,46247,$419141.77
118,5,Mayer,Hialeah,Florida,33018,$209420.20
119,48,Roxbury,Johnson City,Tennessee,37605,$204612.93
120,91,Monica,Hagerstown,Maryland,21747,$273555.95
121,617,8th,Valdosta,Georgia,31605,$382066.23
122,53,Sutteridge,Vancouver,Washington,98664,$250366.95
123,9,Steensland,Phoenix,Arizona,85067,$450041.10
124,54,Clyde Gallagher,New York City,New York,10099,$252441.26
125,8077,Kinsman,Fullerton,California,92640,$432864.67
126,94133,Butternut,Omaha,Nebraska,68164,$218625.49
127,647,Village,Clearwater,Florida,33763,$473864.23
