id,number,street,city,state,postalCode,price
1,24,Oriole,El Paso,Texas,88541,$484016.92
2,70,Nevada,Fayetteville,North Carolina,28305,$154633.17
3,44,Tennessee,Pompano Beach,Florida,33075,$320451.42
4,0,Schiller,Philadelphia,Pennsylvania,19160,$454663.99
5,5150,Golden Leaf,Norfolk,Virginia,23520,$380687.19
6,8,Londonderry,Charleston,West Virginia,25321,$225158.16
7,4,Muir,Peoria,Illinois,61640,$499760.96
8,8009,Monterey,Alexandria,Louisiana,71307,$436833.69
9,48,Moose,Salt Lake City,Utah,84130,$316487.87
10,243,Forest,Sacramento,California,94286,$431679.19
11,403,Grayhawk,Staten Island,New York,10305,$380703.02
12,06055,Arizona,New York City,New York,10155,$439007.55
13,00690,Mcbride,Santa Rosa,California,95405,$155482.18
14,981,Union,Milwaukee,Wisconsin,53263,$269952.70
15,61480,Marquette,Los Angeles,California,90081,$187701.05
16,581,Maryland,Anaheim,California,92812,$132452.76
17,1,Havey,Oklahoma City,Oklahoma,73167,$234639.35
18,849,Oneill,Kalamazoo,Michigan,49006,$212498.33
19,69,Manitowish,Baton Rouge,Louisiana,70836,$151890.05
20,9922,Lakeland,Birmingham,Alabama,35236,$464026.04
21,51,Sugar,Washington,District of Columbia,20010,$207057.60
22,6,Susan,Glendale,California,91210,$386003.87
23,1167,Morningstar,Decatur,Illinois,62525,$338946.86
24,3,Saint Paul,Lincoln,Nebraska,68510,$388499.75
25,9590,Clemons,Washington,District of Columbia,20067,$294302.00
26,424,Dakota,Pensacola,Florida,32526,$139878.43
27,52,Burrows,Dallas,Texas,75265,$382826.20
28,8,Main,Stockton,California,95205,$117494.70
29,4,Morningstar,Salt Lake City,Utah,84135,$191619.95
30,91,Marcy,Hayward,California,94544,$112449.29
31,33,Brown,Bowie,Maryland,20719,$214561.86
32,3,Kim,Memphis,Tennessee,38114,$463967.08
33,225,Mariners Cove,Memphis,Tennessee,38150,$349973.70
34,0,Loeprich,Las Vegas,Nevada,89193,$437404.24
35,3159,Schiller,Migrate,Kentucky,41905,$184208.42
36,3,Northland,Springfield,Missouri,65810,$321208.89
37,27499,Anhalt,Charlotte,North Carolina,28247,$295066.90
38,76,Ruskin,Sarasota,Florida,34233,$71305.43
39,57,Namekagon,Seattle,Washington,98185,$103238.19
40,10745,Muir,Detroit,Michigan,48224,$476938.80
41,376,Judy,Kansas City,Missouri,64190,$382846.75
42,636,Northview,Port Saint Lucie,Florida,34985,$409005.51
43,7,Springview,New York City,New York,10270,$233565.15
44,64,Mayer,Colorado Springs,Colorado,80935,$112982.28
45,365,Mallory,Kansas City,Kansas,66105,$469270.44
46,0700,Starling,Kansas City,Missouri,64187,$279504.07
47,6778,Muir,Kansas City,Missouri,64144,$209298.72
48,988,Onsgard,Jackson,Tennessee,38308,$110195.44
49,327,Dennis,Portland,Oregon,97216,$410301.14
50,1,Pawling,Harrisburg,Pennsylvania,17105,$419589.33
51,4,Haas,Spokane,Washington,99220,$139910.96
52,530,Fulton,Meridian,Mississippi,39305,$217666.69
53,02,Comanche,Daytona Beach,Florida,32128,$435338.79
54,242,Anzinger,Saint Petersburg,Florida,33731,$206203.95
55,66,Hudson,New York City,New York,10110,$135237.64
56,2,Shoshone,Austin,Texas,78754,$271939.82
57,0,Pleasure,Austin,Texas,78749,$454595.49
58,5,Village Green,Bloomington,Illinois,61709,$439520.19
59,52029,Trailsway,Erie,Pennsylvania,16565,$373275.93
60,93,Gerald,Gainesville,Florida,32610,$309104.40
61,8278,Forest,Salt Lake City,Utah,84110,$125202.17
62,32988,Kennedy,Peoria,Illinois,61635,$113726.32
63,285,Northridge,Detroit,Michigan,48232,$75166.20
64,36,Erie,Naples,Florida,34102,$102752.21
65,220,Cherokee,El Paso,Texas,79905,$183659.27
66,3,Walton,Everett,Washington,98206,$490082.12
67,69,Birchwood,Tallahassee,Florida,32399,$434964.52
68,843,Dorton,Montgomery,Alabama,36114,$107930.08
69,9054,David,San Francisco,California,94177,$157251.00
70,1335,Moulton,Spring,Texas,77386,$240880.84
71,89,1st,Cedar Rapids,Iowa,52405,$151862.94
72,132,Kedzie,Knoxville,Tennessee,37924,$287086.84
73,00,Armistice,Cincinnati,Ohio,45233,$378300.89
74,189,Northfield,Jamaica,New York,11436,$173411.62
75,92380,Myrtle,Lake Worth,Florida,33462,$255921.73
76,32964,Buena Vista,Anderson,South Carolina,29625,$374979.01
77,823,Milwaukee,Nashville,Tennessee,37235,$408215.96
78,7014,Oneill,Buffalo,New York,14215,$359191.12
79,0,Mayfield,Rockville,Maryland,20851,$311131.11
80,82409,Tony,Richmond,Virginia,23272,$448445.10
81,7259,Vahlen,Houston,Texas,77040,$216806.56
82,153,Bonner,Montgomery,Alabama,36134,$416751.16
83,9921,Corry,Denver,Colorado,80241,$109067.94
84,912,North,Washington,District of Columbia,20244,$487104.07
85,09,Larry,Birmingham,Alabama,35242,$133607.83
86,56,Orin,Cincinnati,Ohio,45999,$376258.16
87,7,Mariners Cove,Cleveland,Ohio,44111,$89366.57
88,9,Kinsman,Dearborn,Michigan,48126,$53012.21
89,6,Becker,Salt Lake City,Utah,84125,$418972.93
90,6037,Beilfuss,Inglewood,California,90310,$188097.93
91,162,Delaware,Detroit,Michigan,48242,$252785.59
92,855,Veith,Ashburn,Virginia,22093,$111574.59
93,9809,Forest Run,Fort Worth,Texas,76147,$92988.84
94,25302,Thackeray,Chattanooga,Tennessee,37405,$476940.93
95,4,Goodland,Oklahoma City,Oklahoma,73167,$308671.05
96,169,Scoville,Peoria,Illinois,61605,$321105.05
97,57455,Farmco,Washington,District of Columbia,20525,$177231.72
98,050,Corscot,Austin,Texas,78749,$193613.69
99,0,Weeping Birch,Pasadena,Texas,77505,$67655.97
100,84223,Anderson,Eugene,Oregon,97405,$428904.12
101,08054,Mandrake,Birmingham,Alabama,35205,$88520.84
102,08,Warrior,Los Angeles,California,90094,$254457.32
103,23,Hintze,Jackson,Mississippi,39204,$180485.10
104,416,5th,Hartford,Connecticut,06140,$344579.38
105,1,Ridge Oak,Cleveland,Ohio,44130,$453672.41
106,80990,Green Ridge,Philadelphia,Pennsylvania,19131,$331722.86
107,9932,Lerdahl,Las Vegas,Nevada,89135,$165329.71
108,16620,American,Atlanta,Georgia,31190,$402409.18
109,67288,Badeau,Saint Louis,Missouri,63104,$343257.49
110,9745,Eggendart,Dallas,Texas,75387,$68258.26
111,53,Village Green,Saint Louis,Missouri,63110,$91042.26
112,7,Hanson,Houston,Texas,77240,$153535.79
113,1353,Declaration,Kansas City,Kansas,66160,$139691.56
114,368,Sutherland,Spartanburg,South Carolina,29319,$298850.61
115,5,Doe Crossing,Milwaukee,Wisconsin,53205,$282208.47
116,6,Carey,Richmond,Virginia,23203,$392782.24
117,30519,Green,Columbus,Mississippi,39705,$126629.48
118,92,Burning Wood,Corpus Christi,Texas,78426,$156264.38
119,5,Golf Course,Philadelphia,Pennsylvania,19125,$83844.93
120,8088,Pankratz,Boca Raton,Florida,33432,$150680.78
121,95172,Hooker,Winston Salem,North Carolina,27105,$61313.15
122,04691,Superior,Roanoke,Virginia,24024,$466531.65
123,41090,Kenwood,Athens,Georgia,30610,$356992.24
124,6344,Cambridge,Paterson,New Jersey,07505,$333711.99
125,7,Hansons,Boca Raton,Florida,33432,$219939.76
126,5040,Bellgrove,San Francisco,California,94116,$474013.86
127,2,Maple,Anchorage,Alaska,99512,$147263.82
128,6041,Raven,Spokane,Washington,99260,$386134.64
129,35278,Lawn,Tulsa,Oklahoma,74116,$230751.03
130,10978,Magdeline,Albany,New York,12222,$336293.05
131,2689,Pierstorff,Grand Forks,North Dakota,58207,$153361.10
132,880,Cardinal,Decatur,Georgia,30089,$209212.40
133,28,Hoepker,Saint Cloud,Minnesota,56372,$50875.19
134,5,Carberry,San Diego,California,92191,$313972.27
135,8,Fulton,Sunnyvale,California,94089,$365505.64
136,15,Springview,Bethesda,Maryland,20892,$455472.10
137,38,Jay,Shawnee Mission,Kansas,66215,$260120.58
138,3922,Kedzie,San Antonio,Texas,78205,$235404.78
139,36,Amoth,Fort Worth,Texas,76134,$154512.47
140,83,Spohn,Washington,District of Columbia,20226,$129248.21
141,58042,Golden Leaf,Inglewood,California,90305,$121066.60
142,02,Talmadge,Shawnee Mission,Kansas,66286,$311265.13
143,50,Reindahl,Macon,Georgia,31296,$384229.65
144,69,Old Gate,Richmond,Virginia,23228,$191423.44
145,24,Norway Maple,Youngstown,Ohio,44505,$454832.58
146,7,Northview,Daytona Beach,Florida,32123,$409836.57
147,1040,Artisan,Omaha,Nebraska,68197,$389952.12
148,413,Birchwood,Naples,Florida,34108,$404787.17
149,4521,Moose,Minneapolis,Minnesota,55412,$442436.44
150,43080,Logan,New York City,New York,10260,$354450.82
151,7,Springview,Vero Beach,Florida,32964,$352338.50
152,8026,Golf View,Orlando,Florida,32885,$385246.56
153,6,Artisan,Kissimmee,Florida,34745,$402821.35
154,3,Basil,Jackson,Mississippi,39236,$235014.78
155,59,Oak,Baltimore,Maryland,21239,$172173.61
156,4701,Fair Oaks,Tucson,Arizona,85743,$213525.77
157,735,Bobwhite,Los Angeles,California,90045,$139548.59
158,968,Sugar,Atlanta,Georgia,30323,$344143.28
159,0,Dovetail,Brockton,Massachusetts,02405,$58953.85
160,712,Truax,Young America,Minnesota,55551,$327330.18
161,93,Melody,New York City,New York,10131,$84487.67
162,2,Portage,New York City,New York,10045,$275301.03
163,3,Towne,Pasadena,California,91109,$459910.41
164,78,Reindahl,Las Vegas,Nevada,89140,$63949.38
165,51553,Fieldstone,Sacramento,California,95852,$83041.32
166,5,Rowland,El Paso,Texas,79950,$439848.32
167,7,Summerview,Schaumburg,Illinois,60193,$250185.39
168,9234,Lakewood,Des Moines,Iowa,50393,$142005.07
169,9102,Burrows,Long Beach,California,90831,$259216.95
170,9520,Dayton,Charlotte,North Carolina,28225,$64419.40
171,210,Oak Valley,Portland,Maine,04109,$120858.46
172,19248,Westend,Cleveland,Ohio,44118,$208354.62
173,2881,Reinke,New Haven,Connecticut,06520,$144744.40
174,145,Iowa,Miami,Florida,33190,$110726.98
175,66899,Kings,Richmond,Virginia,23285,$236699.51
176,73,Eggendart,Plano,Texas,75074,$300561.09
177,57,Mockingbird,San Francisco,California,94105,$455311.49
178,1641,Parkside,Columbus,Ohio,43220,$177190.17
179,26132,Wayridge,Washington,District of Columbia,20430,$467863.05
180,708,Morrow,Washington,District of Columbia,20062,$129947.51
181,25447,Ridgeway,San Diego,California,92196,$387243.69
182,226,Jackson,El Paso,Texas,88589,$420198.14
183,47,Lotheville,Cleveland,Ohio,44197,$241948.12
184,41,Morning,Columbia,Missouri,65218,$107158.61
185,25081,Goodland,Des Moines,Iowa,50393,$266615.32
186,267,Macpherson,New Orleans,Louisiana,70142,$164176.60
187,28992,Dwight,Wichita,Kansas,67210,$420840.27
188,82727,Bultman,Brooklyn,New York,11254,$75019.56
189,570,Lunder,Portland,Oregon,97255,$491221.04
190,68331,Anthes,Sunnyvale,California,94089,$76756.99
191,81918,Dwight,Pasadena,Texas,77505,$208233.54
192,703,Schlimgen,Louisville,Kentucky,40233,$283372.34
193,98893,Sherman,Arlington,Virginia,22212,$255636.64
194,03544,Lukken,Scranton,Pennsylvania,18514,$147400.04
195,71,Kennedy,Indianapolis,Indiana,46254,$466529.93
196,624,Glacier Hill,Lexington,Kentucky,40581,$469816.83
197,9925,Delladonna,Philadelphia,Pennsylvania,19184,$428213.93
198,2915,Vernon,Mobile,Alabama,36641,$92545.98
199,530,Fordem,Gainesville,Florida,32605,$244274.02
200,0050,David,Chandler,Arizona,85246,$76191.27
201,19,Commercial,Las Vegas,Nevada,89178,$381558.52
202,94,Delladonna,Saint Joseph,Missouri,64504,$313609.11
203,249,Northridge,Englewood,Colorado,80150,$153694.44
204,26888,Badeau,Wilmington,Delaware,19897,$85168.06
205,4052,Cardinal,San Diego,California,92105,$218306.54
206,85319,Anniversary,New Orleans,Louisiana,70142,$334596.24
207,55,Green,Indianapolis,Indiana,46221,$124213.27
208,602,Michigan,Albany,New York,12237,$120194.07
209,13,David,Fort Worth,Texas,76110,$362999.79
210,58473,Hanover,Fresno,California,93786,$482497.43
211,12,Florence,Pittsburgh,Pennsylvania,15261,$458791.75
212,1,Victoria,Clearwater,Florida,34615,$59521.57
213,4,Dwight,Washington,District of Columbia,20005,$290022.80
214,4336,Laurel,Brooklyn,New York,11215,$481053.43
215,23672,Melody,Lexington,Kentucky,40581,$226804.26
216,2073,Monterey,Charlotte,North Carolina,28284,$452833.95
217,6995,Blaine,Greenville,South Carolina,29615,$66354.85
218,3734,Cody,Seattle,Washington,98127,$120324.15
219,4,Maywood,Worcester,Massachusetts,01654,$438665.86
220,5,Doe Crossing,New York City,New York,10029,$169632.80
221,9506,Corry,Houston,Texas,77035,$274896.77
222,5,Amoth,Evansville,Indiana,47747,$246795.99
223,7,Sherman,North Hollywood,California,91606,$80289.40
224,7,Jana,Bronx,New York,10454,$322855.74
225,71438,Vernon,Rochester,New York,14683,$421446.79
226,6227,Mcguire,New York City,New York,10024,$240661.51
227,99,Bultman,Peoria,Illinois,61605,$160422.90
228,4,Memorial,Lima,Ohio,45807,$378163.04
229,0,Hovde,San Francisco,California,94121,$207875.59
230,7986,Maple Wood,Tucson,Arizona,85732,$136535.31
231,4,Ronald Regan,Pittsburgh,Pennsylvania,15220,$74559.71
232,1413,Victoria,New York City,New York,10079,$77295.78
233,72,Summer Ridge,Baton Rouge,Louisiana,70820,$356666.40
234,3132,Butterfield,Washington,District of Columbia,20046,$450307.83
235,06146,Burning Wood,Los Angeles,California,90050,$248329.30
236,5531,Schurz,Flushing,New York,11388,$284540.62
237,43,Burning Wood,Midland,Texas,79710,$227040.87
238,50557,Mallory,Newport News,Virginia,23605,$144288.04
239,8,Veith,Las Vegas,Nevada,89150,$486531.44
240,70,Dayton,Richmond,California,94807,$286552.98
241,332,Spaight,Stockton,California,95219,$91857.93
242,6832,Declaration,Riverside,California,92505,$408541.18
243,7,Maywood,Springfield,Missouri,65805,$448300.02
244,00748,Londonderry,Carlsbad,California,92013,$442280.46
245,58,Cottonwood,Saint Petersburg,Florida,33715,$208438.31
246,050,Judy,Moreno Valley,California,92555,$116652.59
247,93733,Mayer,Anchorage,Alaska,99507,$285450.02
248,473,Melrose,Houston,Texas,77040,$181087.37
249,0,School,Miami,Florida,33134,$446655.91
250,29,Troy,Greensboro,North Carolina,27409,$277039.73
251,80,Acker,Columbus,Ohio,43268,$353775.76
252,780,Dahle,Phoenix,Arizona,85005,$207454.93
253,02449,Nelson,Houston,Texas,77035,$214546.38
254,404,Emmet,San Francisco,California,94137,$448912.13
255,6,Del Mar,Monroe,Louisiana,71208,$133295.26
256,253,Scofield,Saint Louis,Missouri,63131,$313348.19
257,7758,Brentwood,Corpus Christi,Texas,78426,$126992.71
258,10753,Almo,Los Angeles,California,90101,$105688.39
259,631,Oxford,Dayton,Ohio,45408,$427832.62
260,24102,Buell,Memphis,Tennessee,38161,$329041.61
261,7934,John Wall,Melbourne,Florida,32919,$395498.90
262,416,Farmco,Los Angeles,California,90010,$317004.10
263,614,Calypso,Houston,Texas,77045,$362124.91
264,87,Corben,Bowie,Maryland,20719,$274954.44
265,4,Grasskamp,Phoenix,Arizona,85053,$399296.62
266,7558,Sachs,Odessa,Texas,79764,$122578.76
267,65987,Northridge,Phoenix,Arizona,85053,$109374.44
268,21822,Grayhawk,Newton,Massachusetts,02162,$448483.14
269,420,Bay,Los Angeles,California,90189,$241027.90
270,616,Sheridan,Bakersfield,California,93386,$425568.35
271,505,Derek,Washington,District of Columbia,20591,$159995.08
272,599,Declaration,New Bedford,Massachusetts,02745,$378273.19
273,2,Rieder,Jackson,Mississippi,39296,$322479.62
274,69,Melvin,Tacoma,Washington,98424,$110522.02
275,72315,Melrose,New York City,New York,10165,$193659.36
276,85,Gulseth,Seattle,Washington,98148,$237402.58
277,44,Stang,Odessa,Texas,79764,$406668.46
278,04245,Pond,Los Angeles,California,90025,$441836.68
279,5,Cardinal,Las Cruces,New Mexico,88006,$249258.07
280,3,Susan,Prescott,Arizona,86305,$242110.11
281,889,Grim,Pittsburgh,Pennsylvania,15230,$80244.68
